Justificativas de conexões no grafo (baseadas em palavras-chave YAKE):

Conexão entre 5 e 154 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 158 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 161 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 168 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 170 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 173 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 179 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 186 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 192 - Palavras-chave em comum: Rio de Janeiro
Conexão entre 5 e 193 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 196 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 205 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 229 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 234 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 235 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 239 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 249 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 257 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 258 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 263 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 267 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 270 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 272 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 277 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 291 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 293 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 301 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 308 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 315 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 328 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 330 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 332 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 350 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 351 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 352 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 354 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 356 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 362 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 365 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 366 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 378 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 381 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 389 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 399 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 400 - Palavras-chave em comum: Rio de Janeiro
Conexão entre 5 e 402 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 413 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 417 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 419 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 420 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 426 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 428 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 438 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 439 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 441 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 443 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 447 - Palavras-chave em comum: Rio de Janeiro
Conexão entre 5 e 448 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 449 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 453 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 463 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 464 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 466 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 470 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 474 - Palavras-chave em comum: Rio de Janeiro
Conexão entre 5 e 476 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 477 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 480 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 483 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 490 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 493 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 495 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 499 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 507 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 509 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 518 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 533 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 538 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 549 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 553 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 565 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 575 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 580 - Palavras-chave em comum: Rio de Janeiro
Conexão entre 5 e 584 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 592 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 594 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 596 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 604 - Palavras-chave em comum: Rio de Janeiro, presidente Jair Bolsonaro
Conexão entre 5 e 606 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 615 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 621 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 632 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 635 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 643 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 651 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 662 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 669 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 690 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 692 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 694 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 696 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 701 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 706 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 707 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 714 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 715 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 717 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 718 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 719 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 733 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 734 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 740 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 741 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 742 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 743 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 748 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 751 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 754 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 756 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 764 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 773 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 775 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 789 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 790 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 797 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 798 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 800 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 809 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 818 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 821 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 822 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 823 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 824 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 826 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 848 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 849 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 852 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 853 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 854 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 859 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 876 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 879 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 882 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 900 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 910 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 939 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 946 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 948 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 954 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 968 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 973 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 976 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 984 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 986 - Palavras-chave em comum: Rio de Janeiro
Conexão entre 5 e 994 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 997 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 1001 - Palavras-chave em comum: Rio de Janeiro
Conexão entre 5 e 1002 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 1010 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 1016 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 1017 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 1023 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 1024 - Palavras-chave em comum: Rio de Janeiro
Conexão entre 5 e 1031 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 1046 - Palavras-chave em comum: Rio de Janeiro
Conexão entre 5 e 1052 - Palavras-chave em comum: Rio de Janeiro
Conexão entre 5 e 1067 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 1069 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 1105 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 1107 - Palavras-chave em comum: presidente Jair Bolsonaro
Conexão entre 5 e 1115 - Palavras-chave em comum: Rio de Janeiro
Conexão entre 5 e 1132 - Palavras-chave em comum: Rio de Janeiro
Conexão entre 5 e 1141 - Palavras-chave em comum: Rio de Janeiro
Conexão entre 5 e 1159 - Palavras-chave em comum: presidente Jair Bolsonaro
